Date,Question,Comment,Purpose,Customer focused,Innovation ,One team,Empowered/Development/ (Potential),Diversity & Well-Being,Score,Group,Driver/Value
2024-04-08 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,"There has been a change from delivering to the customer, to a return on investment or maximizing return for Danaher which feels like a major shift. This shift is perceived as a shift from customer delivery and focus to a  financial/monetary return for Danaher.

This shift can be seen and heard in the language used by management.

Still seeing how the shift plays out and how the culture will be impacted. It still early days so lets see how things progress.",0,1,0,0,0,0,5,Engagement,Organisational Fit
2024-04-03 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,"I'm too old to understand what ""Abcam's values"" means",1,0,0,1,0,0,5,Engagement,Organisational Fit
2024-04-03 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,"Work and life need to be well balanced, and you can't have one without the other.",0,0,0,0,0,1,9,Engagement,Organisational Fit
2024-04-03 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,Unsure till future more clear.,1,0,1,0,0,0,7,Engagement,Organisational Fit
2024-05-10 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,"While I agree with a lot of the altruistic goals of the company, I believe Abcam is a little too ""customer focused"", and they put too much stock into making product, nd not into the process or its employees.",1,1,0,0,0,0,1,Engagement,Organizational fit
2024-04-08 00:00:00,Abcam's values provide a good fit with the things that I consider important in life.,Need to restate those values again,1,0,0,0,0,0,7,Engagement,Organisational Fit
2024-05-08 00:00:00,"At work, I know what I'm expected to deliver.",jira cards often have no detail at all,0,0,0,0,0,0,0,Engagement,Goal Setting
2024-05-01 00:00:00,"At work, I know what I'm expected to deliver.","Sometimes seems to be a little unrealistic at times when capacity and demand is already high, with then sudden sicknesses which can't be helped and people not pulling their weight in the team and other people having to pick up the additional workload to make sure everything is delivered as expected. It is clear what is expected, but it doesn't feel like everyone has the same outlook as to what is expected and has strange priorities which can cause disruption across the team when work is not being picked up accordingly.",0,1,1,1,0,0,9,Engagement,Goal Setting
2024-05-06 00:00:00,"At work, I know what I'm expected to deliver.","There are times when we are expected to perform task that are not given in our job description, without our opinion. This would be fine if the issues were not caused by someone else and we are picking up for their slack.",0,0,0,1,0,0,7,Engagement,Goal Setting
2024-04-03 00:00:00,"At work, I know what I'm expected to deliver.",I'll try to integrate into Danaher's DBS system as soon as possible and build on my success.,0,0,1,0,0,0,10,Engagement,Goal-Setting
2024-05-08 00:00:00,"At work, I know what I'm expected to deliver.",Instructions are always clear and precise,0,1,1,0,0,0,10,Engagement,Goal Setting
2024-05-01 00:00:00,"At work, my opinions seem to be valued.",Sometimes my opinions start a wider discussion so yes I think they are valued,0,0,0,0,0,1,10,Engagement,Freedom of Opinion
2024-05-08 00:00:00,"At work, my opinions seem to be valued.",we provide a supporting service which is valued but we are not always visible to the business,0,1,0,1,0,0,7,Engagement,Freedom of Opinion
2024-04-05 00:00:00,"At work, my opinions seem to be valued.",Depends on who you are talking to.,0,0,0,1,0,0,7,Engagement,Freedom of Opinions
2024-05-03 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"There are a lot of things that need to be reassessed and considered. For a company that has been around for a bit, it feels like working at a startup due to the constant back and forth in its processes. I think this has come even more apparent with the danaher acquisition as they crack down on all the shortcomings of our processes, or lack thereof.",1,1,1,0,0,0,7,Engagement,Engagement
2024-05-01 00:00:00,How likely is it that you would recommend Abcam as a place to work?,The workload is too high.,0,1,1,0,0,0,4,Engagement,Engagement
2024-05-10 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"I think Abcam is a good place to work and I will continue to recommend it. I think that Abcam does a good job at encouraging employees to get involved in a range of activities that they would not do otherwise e.g. passport to wellness, work experience week. I feel that this encouragement motivates people to take on further responsibilities to better the work environment such as representing the team in cross functional group projects like lab supermarket.
However, with the promotion cycle being changed to once a year instead of every 6 months I find it hard to stay motivated to grow my career here. It is difficult to stay motivated to grow my responsibilities and skills at Abcam when statistically that growth will not be recognised in the form of promotion for a few years.",0,0,0,0,1,0,9,Engagement,Engagement
2024-05-01 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"Great team, supporting manager & great opportunities",0,0,0,1,1,0,10,Engagement,Engagement
2024-05-08 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"Abcam is a great place to work. The working environment is very friendly, and most coworkers recognize the importance of driving towards goals as a team. The interface with other team is still a work in progress, but all teams maintain a very positive attitude. One of the negative aspects, from my experience, is the interaction with HR. In my particular case, my ability to remain working in Abcam, as I would like to do, is dependent on having a straightforward conversation with HR in relation to work visas. Unfortunately, I have not gotten an answer to my information requests. I understand it is a difficult topic, but at least a confirmation that my questions and concerns have been received and are being evaluated, would be very helpful.",0,0,0,0,1,1,7,Engagement,Engagement
2024-05-01 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"Positive changes coming with the Danaher transition, but digital problems make in office work very difficult and frustrating and I would caution anyone wanting to join about these problems at the moment.",0,1,1,0,0,0,8,Engagement,Engagement
2024-05-09 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"I enjoy the work, the culture and working with my team. Whilst I understand the wider business need for the headcount freezes this has impacted the mood in the team.",0,0,0,1,0,0,9,Engagement,Engagement
2024-05-03 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"Workload feels high, struggling to find enough time to do R+Rs and QA stuff etc. within work hours. 
Bonus/ pay review being pushed back to April 25. 
Bonus scheme not being offered to employees on fixed term contracts seems unfair.
Promotion process doesn't happen often enough so it feels like there's not much opportunity for progression.",0,1,1,0,1,0,6,Engagement,Engagement
2024-05-02 00:00:00,How likely is it that you would recommend Abcam as a place to work?,Company with many growth opportunities. With DHR even more so.,0,0,0,0,1,0,9,Engagement,Engagement
2024-05-01 00:00:00,How likely is it that you would recommend Abcam as a place to work?,There is a lot of change going on right now and also fear that the customer service side of abcam is slowing getting pushed out by either AI or Hitech so I don't really know how secure a job would be at this point,0,1,0,0,0,0,5,Engagement,Engagement
2024-05-07 00:00:00,How likely is it that you would recommend Abcam as a place to work?,"The recent announcement about the new bonus program has reduced my likeliness to recommend Abcam. 
As a newer starter I was not eligible for the share pay out at the end of last year (understandably) however was told before joining that the share program would be replaced with a like for like scheme.
I feel the new bonus program is not an equivalent and due to not being eligible for a pay rise and cost of living payment means when the bonus is paid in April 2025 I won't have had a pay increase for 18 months. 
This does not encourage staff retention and isn't industry competitive.",0,0,0,0,1,1,6,Engagement,Engagement
